"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1305","test_login_success","tests.ui","2026-01-26","passed","2026-01-26","","test_login","",""
"","87","test_dummy_api_status","tests.api","2026-01-26","passed","2026-01-26","","test_dummy_api","",""
"","550","test_performance_metrics","tests.performance","2026-01-26","passed","2026-01-26","","test_performance_metrics","",""
"","764","test_login_success","tests.ui","2026-01-26","passed","2026-01-26","","test_login","",""
"","1093","test_login_invalid_password","tests.ui","2026-01-26","passed","2026-01-26","","test_login","",""
"","539","test_login_invalid_password","tests.ui","2026-01-26","passed","2026-01-26","","test_login","",""
"","15","test_bb84_clean_channel_usually_accepts","tests.unit","2026-01-26","passed","2026-01-26","","test_qkd_bb84","",""
"","794","test_performance_metrics","tests.performance","2026-01-26","passed","2026-01-26","","test_performance_metrics","",""
"","1067","test_login_success","tests.ui","2026-01-26","passed","2026-01-26","","test_login","",""
"","564","test_login_page_visual_regression","tests.visual","2026-01-26","passed","2026-01-26","","test_visual_login","",""
"","904","test_login_page_visual_regression","tests.visual","2026-01-26","passed","2026-01-26","","test_visual_login","",""
"","821","test_login_invalid_password","tests.ui","2026-01-26","passed","2026-01-26","","test_login","",""
"","367","test_login_page_visual_regression","tests.visual","2026-01-26","passed","2026-01-26","","test_visual_login","",""
"","20","test_bb84_mitm_usually_detected","tests.unit","2026-01-26","passed","2026-01-26","","test_qkd_bb84","",""
"","313","test_performance_metrics","tests.performance","2026-01-26","passed","2026-01-26","","test_performance_metrics","",""
