"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1554","test_performance_metrics","tests.performance","2026-01-27","passed","2026-01-27","","test_performance_metrics","",""
"","2405","test_login_success","tests.ui","2026-01-27","passed","2026-01-27","","test_login","",""
"","558","test_login_page_visual_regression","tests.visual","2026-01-27","passed","2026-01-27","","test_visual_login","",""
"","371","test_login_invalid_password","tests.ui","2026-01-27","passed","2026-01-27","","test_login","",""
"","18","test_bb84_clean_channel_usually_accepts","tests.unit","2026-01-27","passed","2026-01-27","","test_qkd_bb84","",""
"","273","test_login_page_visual_regression","tests.visual","2026-01-27","passed","2026-01-27","","test_visual_login","",""
"","361","test_login_success","tests.ui","2026-01-27","passed","2026-01-27","","test_login","",""
"","1716","test_login_page_visual_regression","tests.visual","2026-01-27","passed","2026-01-27","","test_visual_login","",""
"","2159","test_login_invalid_password","tests.ui","2026-01-27","passed","2026-01-27","","test_login","",""
"","60","test_dummy_api_status","tests.api","2026-01-27","passed","2026-01-27","","test_dummy_api","",""
"","805","test_login_invalid_password","tests.ui","2026-01-27","passed","2026-01-27","","test_login","",""
"","26","test_bb84_mitm_usually_detected","tests.unit","2026-01-27","passed","2026-01-27","","test_qkd_bb84","",""
"","217","test_performance_metrics","tests.performance","2026-01-27","passed","2026-01-27","","test_performance_metrics","",""
"","787","test_login_success","tests.ui","2026-01-27","passed","2026-01-27","","test_login","",""
"","489","test_performance_metrics","tests.performance","2026-01-27","passed","2026-01-27","","test_performance_metrics","",""
