"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1566","test_performance_metrics","tests.performance","2026-01-27","passed","2026-01-27","","test_performance_metrics","",""
"","972","test_performance_metrics","tests.performance","2026-01-27","passed","2026-01-27","","test_performance_metrics","",""
"","955","test_login_invalid_password","tests.ui","2026-01-27","passed","2026-01-27","","test_login","",""
"","61","test_dummy_api_status","tests.api","2026-01-27","passed","2026-01-27","","test_dummy_api","",""
"","1276","test_login_page_visual_regression","tests.visual","2026-01-27","passed","2026-01-27","","test_visual_login","",""
"","1593","test_login_invalid_password","tests.ui","2026-01-27","passed","2026-01-27","","test_login","",""
"","1108","test_login_page_visual_regression","tests.visual","2026-01-27","passed","2026-01-27","","test_visual_login","",""
"","26","test_bb84_mitm_usually_detected","tests.unit","2026-01-27","passed","2026-01-27","","test_qkd_bb84","",""
"","18","test_bb84_clean_channel_usually_accepts","tests.unit","2026-01-27","passed","2026-01-27","","test_qkd_bb84","",""
"","1651","test_login_success","tests.ui","2026-01-27","passed","2026-01-27","","test_login","",""
"","733","test_performance_metrics","tests.performance","2026-01-27","passed","2026-01-27","","test_performance_metrics","",""
"","1339","test_login_invalid_password","tests.ui","2026-01-27","passed","2026-01-27","","test_login","",""
"","1136","test_login_success","tests.ui","2026-01-27","passed","2026-01-27","","test_login","",""
"","667","test_login_page_visual_regression","tests.visual","2026-01-27","passed","2026-01-27","","test_visual_login","",""
"","1322","test_login_success","tests.ui","2026-01-27","passed","2026-01-27","","test_login","",""
