"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39302","test_expedia_search_brussels_friday_monday","tests.ui","2026-01-27","skipped","2026-01-27","Expedia","Travel","",""
"","38556","test_booking_search_brussels_friday_monday","tests.ui","2026-01-27","skipped","2026-01-27","Booking.com","Travel","",""
"","18","test_bb84_clean_channel_usually_accepts","tests.unit","2026-01-27","passed","2026-01-27","","test_qkd_bb84","",""
"","38503","test_expedia_search_brussels_friday_monday","tests.ui","2026-01-27","skipped","2026-01-27","Expedia","Travel","",""
"","9047","test_brave_events_search_brussels","tests.ui","2026-01-27","passed","2026-01-27","Brave Search","Events","",""
"","27848","test_brave_events_search_brussels","tests.ui","2026-01-27","skipped","2026-01-27","Brave Search","Events","",""
"","26","test_bb84_mitm_usually_detected","tests.unit","2026-01-27","passed","2026-01-27","","test_qkd_bb84","",""
"","28885","test_google_events_search_brussels","tests.ui","2026-01-27","skipped","2026-01-27","Google Search","Events","",""
"","11581","test_booking_search_brussels_friday_monday","tests.ui","2026-01-27","passed","2026-01-27","Booking.com","Travel","",""
"","9139","test_brave_events_search_brussels","tests.ui","2026-01-27","passed","2026-01-27","Brave Search","Events","",""
"","28833","test_google_events_search_brussels","tests.ui","2026-01-27","skipped","2026-01-27","Google Search","Events","",""
"","28750","test_google_events_search_brussels","tests.ui","2026-01-27","skipped","2026-01-27","Google Search","Events","",""
"","8971","test_booking_search_brussels_friday_monday","tests.ui","2026-01-27","passed","2026-01-27","Booking.com","Travel","",""
"","38861","test_expedia_search_brussels_friday_monday","tests.ui","2026-01-27","skipped","2026-01-27","Expedia","Travel","",""
