"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9111","test_brave_events_search_brussels[webkit]","tests.ui","2026-01-28","passed","2026-01-28","Brave Search","Events","",""
"","46395","test_google_events_search_brussels[firefox]","tests.ui","2026-01-28","skipped","2026-01-28","Google Search","Events","",""
"","17199","test_booking_search_brussels_friday_monday[firefox]","tests.ui","2026-01-28","passed","2026-01-28","Booking.com","Travel","",""
"","66093","test_booking_search_brussels_friday_monday[chromium]","tests.ui","2026-01-28","skipped","2026-01-28","Booking.com","Travel","",""
"","18","test_bb84_clean_channel_usually_accepts","tests.unit","2026-01-28","passed","2026-01-28","","test_qkd_bb84","",""
"","46348","test_google_events_search_brussels[webkit]","tests.ui","2026-01-28","skipped","2026-01-28","Google Search","Events","",""
"","45506","test_brave_events_search_brussels[chromium]","tests.ui","2026-01-28","skipped","2026-01-28","Brave Search","Events","",""
"","9729","test_brave_events_search_brussels[firefox]","tests.ui","2026-01-28","passed","2026-01-28","Brave Search","Events","",""
"","67649","test_expedia_search_brussels_friday_monday[webkit]","tests.ui","2026-01-28","skipped","2026-01-28","Expedia","Travel","",""
"","17910","test_booking_search_brussels_friday_monday[webkit]","tests.ui","2026-01-28","passed","2026-01-28","Booking.com","Travel","",""
"","46229","test_google_events_search_brussels[chromium]","tests.ui","2026-01-28","skipped","2026-01-28","Google Search","Events","",""
"","65653","test_expedia_search_brussels_friday_monday[chromium]","tests.ui","2026-01-28","skipped","2026-01-28","Expedia","Travel","",""
"","66016","test_expedia_search_brussels_friday_monday[firefox]","tests.ui","2026-01-28","skipped","2026-01-28","Expedia","Travel","",""
"","25","test_bb84_mitm_usually_detected","tests.unit","2026-01-28","passed","2026-01-28","","test_qkd_bb84","",""
